title,content,link,date,source_type,source_name
Концерт в честь Навруза в подмосковном Live Arena собрал 11 тыс. зрителей,,https://tass.ru/kultura/27009589,"Mon, 06 Apr 2026 00:07:01 +0300",website,tass.ru
"В Иране заявили, что любую наземную операцию США ожидает поражение","Генеральный штаб вооруженных сил исламской республики отметил, что проникновение врага в какую-либо часть государства постигнет провал",https://tass.ru/mezhdunarodnaya-panorama/27009677,"Mon, 06 Apr 2026 00:24:17 +0300",website,tass.ru
Посол Келин: Британия заинтересована в усилении конфликта на Украине,"Посол России в Великобритании отметил, что недавние удары по гражданским объектам и населению в Брянске являются наглядным примером намерений Лондона",https://tass.ru/politika/27009685,"Mon, 06 Apr 2026 00:26:15 +0300",website,tass.ru
Китай уведомил РФ о готовности продлить безвизовый въезд россиянам еще на год,МИД России прорабатывает с китайскими партнерами модальности сохранения порядка взаимных поездок граждан,https://tass.ru/obschestvo/27009707,"Mon, 06 Apr 2026 00:27:35 +0300",website,tass.ru
Al Hadath: в Иране погибли четыре офицера при отражении атак вертолетов США,"Это произошло недалеко от Исфахана, расположенного в центральной части исламской республики, сообщает телеканал",https://tass.ru/proisshestviya/27009701,"Mon, 06 Apr 2026 00:28:55 +0300",website,tass.ru
В Британии объявили о борьбе с ростом стоимости жизни из-за войны в Иране,Самое значительное изменение - снятие ограничений на пособия на детей,https://tass.ru/mezhdunarodnaya-panorama/27009723,"Mon, 06 Apr 2026 00:34:11 +0300",website,tass.ru
В Казахстане прорвало плотину,"Сооружение ""Шоптыколь"" расположено в 2 км от села Сабынды в Акмолинской области",https://tass.ru/proisshestviya/27009715,"Mon, 06 Apr 2026 00:36:50 +0300",website,tass.ru
Движение автотранспорта по Крымскому мосту возобновили,Оно было временно перекрыто 5 апреля в 21:57 мск,https://tass.ru/obschestvo/27009747,"Mon, 06 Apr 2026 00:48:11 +0300",website,tass.ru
Малкин вошел в топ-25 игроков НХЛ по количеству голевых передач,"Форвард ""Питтсбурга"" сделал 873 результативных паса и сравнялся с Филом Эспозито",https://tass.ru/sport/27009753,"Mon, 06 Apr 2026 00:51:03 +0300",website,tass.ru
"Иран предупредил, что намерен отвечать на удары по гражданским объектам атаками","Генштаб исламской республики пообещал, что ответные атаки будут в два раза мощнее",https://tass.ru/mezhdunarodnaya-panorama/27009761,"Mon, 06 Apr 2026 00:53:22 +0300",website,tass.ru
В аэропортах Краснодара и Сочи задержали 193 рейса,Отменили 51 рейс,https://tass.ru/ekonomika/27009767,"Mon, 06 Apr 2026 00:55:24 +0300",website,tass.ru
"""Страна"": сотрудники ТЦК задержали украинского хореографа Амадора Лопеса","Он проходит процедуры, связанные с мобилизацией, сообщает издание",https://tass.ru/proisshestviya/27009789,"Mon, 06 Apr 2026 00:55:59 +0300",website,tass.ru
Трамп не исключил переброску американских войск в Иран,"США готовы будут рассмотреть возможность нанесения ударов по любым инфраструктурным объектам республики, если не удастся достичь сделки, отметил президент Соединенных Штатов ",https://tass.ru/mezhdunarodnaya-panorama/27009781,"Mon, 06 Apr 2026 00:59:23 +0300",website,tass.ru
Баканов назвал 65-летие полета Гагарина в космос величайшей датой,Советский космонавт облетел вокруг Земли и успешно приземлился в Саратовской области 12 апреля 1961 года,https://tass.ru/kosmos/27009803,"Mon, 06 Apr 2026 01:01:28 +0300",website,tass.ru
Глава Петропавловска-Камчатского ушел в отставку,Евгений Беляев покинул пост по собственному желанию,https://tass.ru/politika/27009829,"Mon, 06 Apr 2026 01:02:50 +0300",website,tass.ru
"Баканов рассказал, когда впервые увидел пуск ракеты","Генеральный директор госкорпорации Роскосмос отметил, что это произошло, когда ему было 26 лет",https://tass.ru/kosmos/27009797,"Mon, 06 Apr 2026 01:02:57 +0300",website,tass.ru
Lebanon 24: четыре ливанца погибли при ударе ВМС Израиля по пригороду Бейрута,"По информации портала, ВМС еврейского государства выпустили ракеты по двум квартирам в жилом комплексе ""Тиляль""",https://tass.ru/mezhdunarodnaya-panorama/27009835,"Mon, 06 Apr 2026 01:05:52 +0300",website,tass.ru
В Новороссийске из-за атаки БПЛА пострадали восемь человек,Среди них двое детей,https://tass.ru/proisshestviya/27009841,"Mon, 06 Apr 2026 01:09:41 +0300",website,tass.ru
В Новороссийске для жителей поврежденных из-за БПЛА домов подготовили ПВР,Их организовали в двух школах,https://tass.ru/proisshestviya/27009877,"Mon, 06 Apr 2026 01:38:37 +0300",website,tass.ru
Для жителей поврежденных из-за БПЛА домов подготовили ПВР в двух школах Новороссийска,,https://tass.ru/proisshestviya/27009877,"Mon, 06 Apr 2026 01:38:37 +0300",website,tass.ru
"В Иране сообщили, что жилой квартал города Кум подвергся бомбардировке","Советник губернатора провинции заявил, что спасательные команды приступили к ""разбору завалов и поиску выживших""",https://tass.ru/mezhdunarodnaya-panorama/27009871,"Mon, 06 Apr 2026 01:39:18 +0300",website,tass.ru
"В Иране сообщили, что жилой квартал иранского города Кум подвергся бомбардировке","Советник губернатора провинции заявил, что спасательные команды приступили к ""разбору завалов и поиску выживших""",https://tass.ru/mezhdunarodnaya-panorama/27009871,"Mon, 06 Apr 2026 01:39:18 +0300",website,tass.ru
"The Economist заявил о ""похоронных настроениях"" в Европе по поводу будущего НАТО","Их причиной стало высказывание  госсекретаря США Марко Рубио, поставившего под сомнение эффективность альянса, пишет журнал",https://tass.ru/mezhdunarodnaya-panorama/27009881,"Mon, 06 Apr 2026 01:42:07 +0300",website,tass.ru
Юрист Поляков напомнил о риске лишиться прав после употребления кефира и кваса,"Доцент кафедры административного права и процесса Университета имени О. Е. Кутафина отметил, что, согласно судебной практике, употребление продуктов питания не является оправданием при фиксации опьянения",https://tass.ru/obschestvo/27009891,"Mon, 06 Apr 2026 01:46:07 +0300",website,tass.ru
Юрист Поляков напомнил о риске лишиться прав после употребления кефира и кваса,,https://tass.ru/obschestvo/27009891,"Mon, 06 Apr 2026 01:46:07 +0300",website,tass.ru
В Пензенской области ввели режим беспилотной опасности,В регионе временно ограничили работу мобильного интернета,https://tass.ru/proisshestviya/27009897,"Mon, 06 Apr 2026 01:50:52 +0300",website,tass.ru
"Bild: в ФРГ во время поиска пасхальных яиц нашли флакон с надписью ""Полоний-210""","На место происшествия прибыли около 138 сотрудников экстренных служб, включая отряд радиационной защиты, пишет издание",https://tass.ru/proisshestviya/27009903,"Mon, 06 Apr 2026 01:58:22 +0300",website,tass.ru
Баканов: в СВО принимают участие 1 357 сотрудников Роскосмоса,"Глава госкорпорации отметил, что признателен каждому работнику, который пошел на специальную военную операцию",https://tass.ru/armiya-i-opk/27009917,"Mon, 06 Apr 2026 02:00:30 +0300",website,tass.ru
Врио главы Петропавловска-Камчатского станет Андрей Воровский,Евгений Беляев ушел в отставку по собственному желанию,https://tass.ru/politika/27009911,"Mon, 06 Apr 2026 02:01:53 +0300",website,tass.ru
Дирижер Курентзис представил программу к 100-летию Дьердя Куртага,"В концерте приняли участие оркестр и хор musicAeterna, а также солисты - сопрано Ивета Симонян и баритон Владислав Чижов",https://tass.ru/kultura/27009855,"Mon, 06 Apr 2026 02:06:09 +0300",website,tass.ru
"В Бразилии заявили, что США выйдут ослабленными из конфликта с Ираном","Специальный помощник президента страны по международным вопросам Селсу Аморим отметил, что Соединенным Штатам не удалось достичь поставленных целей в ожидаемые сроки",https://tass.ru/mezhdunarodnaya-panorama/27009923,"Mon, 06 Apr 2026 02:07:41 +0300",website,tass.ru
"Эксперт Вегвари: в Венгрии, возможно, обнаружили неизвестную картину Ван Гога","Искусствовед отметила, что речь идет еще об одной версии картины голландского художника ""Танцевальный зал в Арле""",https://tass.ru/kultura/27009937,"Mon, 06 Apr 2026 02:15:19 +0300",website,tass.ru
The Times: закон о повышении обороноспособности Британии не примут до 2027 года,"Предполагалось, что законопроект начнут обсуждать в 2026 году, пишет газета",https://tass.ru/mezhdunarodnaya-panorama/27009945,"Mon, 06 Apr 2026 02:15:59 +0300",website,tass.ru
"В ОП рассказали, что Telegram нарушает законодательство о рынке ценных бумаг","Член комиссии по общественной экспертизе законопроектов и иных нормативных актов Евгений Машаров отметил, что мессенджер в последние годы предлагает россиянам финансовые услуги наравне с онлайн-казино и ставками на спорт",https://tass.ru/obschestvo/27009957,"Mon, 06 Apr 2026 02:18:55 +0300",website,tass.ru
Цена нефти марки Brent превысила $110,"К 01:10 мск стоимость фьючерса ускорила рост до $111,89 за баррель",https://tass.ru/ekonomika/27009961,"Mon, 06 Apr 2026 02:22:52 +0300",website,tass.ru
Al Araby: беспилотник атаковал дипломатический объект США в Ираке,"По информации телеканала, под удар попал логистический центр американского посольства, расположенный рядом с аэропортом Багдада",https://tass.ru/proisshestviya/27009969,"Mon, 06 Apr 2026 02:23:45 +0300",website,tass.ru
Fars: в Тегеране произошли взрывы,Подробности не приводятся,https://tass.ru/mezhdunarodnaya-panorama/27009977,"Mon, 06 Apr 2026 02:26:20 +0300",website,tass.ru
Участие в Российском космическом форуме примут шесть зарубежных стран,"На мероприятии 9 апреля ожидаются представители Китая, Индии, Индонезии, Белоруссии, Казахстана и Мьянмы, сообщил глава Роскосмоса Дмитрий Баканов",https://tass.ru/kosmos/27009989,"Mon, 06 Apr 2026 02:31:05 +0300",website,tass.ru
Алиханов: экспорт российских лекарств вырос более чем на 30% в 2025 году,"Сумма составила около $1,3 млрд, сообщил министр промышленности и торговли ",https://tass.ru/ekonomika/27010015,"Mon, 06 Apr 2026 02:38:11 +0300",website,tass.ru
Iran War Cost Tracker: США потратили более $42 млрд на военную операцию в Иране,"Такие данные приводит счетчик портала, работающий в режиме реального времени",https://tass.ru/mezhdunarodnaya-panorama/27010057,"Mon, 06 Apr 2026 02:46:49 +0300",website,tass.ru
"В Иране сообщили, что при бомбардировке города Кум погибли пять человек","Это число, вероятно, увеличится по мере продолжения работ по расчистке завалов, сообщил заместитель главы управления безопасности провинции ",https://tass.ru/proisshestviya/27010065,"Mon, 06 Apr 2026 02:57:52 +0300",website,tass.ru
МВД: мошенники используют схему с имитацией инвестиционных платформ с ботами,Пользователям демонстрируют фальшивый интерфейс с быстро растущим балансом и графиками доходности,https://tass.ru/obschestvo/27010075,"Mon, 06 Apr 2026 03:00:43 +0300",website,tass.ru
Баканов: Роскосмос сохраняет вакансии за ушедшими на СВО сотрудниками,Родственникам работников также помогают с трудоустройством,https://tass.ru/kosmos/27010085,"Mon, 06 Apr 2026 03:01:06 +0300",website,tass.ru
Мурашко: Минздрав начал подготовку к новому эпидсезону по гриппу,"Министр здравоохранения отметил, что готовятся вакцинные штаммы, ведется контрактация по противогриппозным вакцинам ",https://tass.ru/obschestvo/27010081,"Mon, 06 Apr 2026 03:03:36 +0300",website,tass.ru
"Эксперт Подчиненова рассказала, кому стоит отказаться от куличей на Пасху","Врач-эндокринолог и диетолог отметила, что классические куличи на пшеничной муке не рекомендованы людям с целиакией, индивидуальной непереносимостью белка пшеницы или аллергией на белок коровьего молока",https://tass.ru/obschestvo/27010091,"Mon, 06 Apr 2026 03:07:52 +0300",website,tass.ru
"В Росстате рассказали, где средняя зарплата превышает 150 тыс. рублей",Такой показатель в январе 2026 года зафиксирован в семи регионах России,https://tass.ru/obschestvo/27010093,"Mon, 06 Apr 2026 03:12:37 +0300",website,tass.ru
Минздраву предложили ставить у окон роддомов стенды для граффити от отцов,"Председатель Совета матерей Татьяна Буцкая отметила, что мужчины размещают надписи с благодарностями на асфальте, заборах и стенах, что создает сразу несколько проблем",https://tass.ru/obschestvo/27010107,"Mon, 06 Apr 2026 03:15:27 +0300",website,tass.ru
Минздраву предложили ставить у окон роддомов стенды для граффити от отцов,,https://tass.ru/obschestvo/27010107,"Mon, 06 Apr 2026 03:15:27 +0300",website,tass.ru
Алиханов: Россия экспортирует лекарства в более чем 150 стран,Глава Минпромторга назвал развитие экспорта отечественных препаратов одной из приоритетных задач ведомства,https://tass.ru/ekonomika/27010111,"Mon, 06 Apr 2026 03:15:58 +0300",website,tass.ru
"Боец Гудини: ""Ланцеты"" уничтожают цели ВСУ даже при сильном встречном ветре","Российский военнослужащий отметил, что барражирующие боеприпасы могут работать в сложных погодных условиях ",https://tass.ru/armiya-i-opk/27010119,"Mon, 06 Apr 2026 03:18:41 +0300",website,tass.ru
"Оператор ""Днепра"" Гудини: ""Ланцеты"" уничтожают цели ВСУ даже при сильном ветре","Российский военнослужащий отметил, что барражирующие боеприпасы могут работать в сложных погодных условиях ",https://tass.ru/armiya-i-opk/27010119,"Mon, 06 Apr 2026 03:18:41 +0300",website,tass.ru
У Северных Курил произошло ощущаемое землетрясение,"Магнитуда составила 4,2",https://tass.ru/proisshestviya/27010123,"Mon, 06 Apr 2026 03:27:14 +0300",website,tass.ru
В Израиле заявили об обстреле со стороны Ирана,"Командование тыла направило предупреждение на мобильные телефоны жителей, находящихся в районе атак",https://tass.ru/mezhdunarodnaya-panorama/27010127,"Mon, 06 Apr 2026 03:30:23 +0300",website,tass.ru
"Эксперт Костенко объяснил, когда второй иностранный язык обязателен в школе","Это возможно, если в учебном учреждении могут его преподавать, а родители подали соответствующее заявление, отметил руководитель Института содержания и методов обучения им. В. С. Леднева ",https://tass.ru/obschestvo/27010131,"Mon, 06 Apr 2026 03:35:44 +0300",website,tass.ru
Жителям Певека на Чукотке рекомендовали не выходить из дома из-за урагана,В городе ожидается юго-восточный ураганный ветер с порывами 50-55 м/с,https://tass.ru/proisshestviya/27010135,"Mon, 06 Apr 2026 03:39:33 +0300",website,tass.ru
На Камчатке Вулкан Шивелуч выбросил пепел на высоту 7 км над уровнем моря,Активность вулкана опасна для местных и международных авиаперевозок,https://tass.ru/proisshestviya/27010137,"Mon, 06 Apr 2026 03:41:29 +0300",website,tass.ru
Алиханов назвал основных зарубежных покупателей российских лекарств,"Среди них Казахстан, Белоруссия, Узбекистан, Турция, Туркменистан, Алжир и Литва, рассказал глава Минпромторга",https://tass.ru/ekonomika/27010145,"Mon, 06 Apr 2026 03:48:10 +0300",website,tass.ru
В Дербентском районе Дагестана ищут двоих пропавших без вести,Поиски продолжаются спасателями и местными волонтерами,https://tass.ru/proisshestviya/27010157,"Mon, 06 Apr 2026 03:56:06 +0300",website,tass.ru
The Times of Israel: после обстрела Хайфы четыре человека остаются под завалами,"Работа спасателей затруднена из-за ""масштабов разрушений и сложности задачи"", пишет издание ",https://tass.ru/mezhdunarodnaya-panorama/27010165,"Mon, 06 Apr 2026 03:59:35 +0300",website,tass.ru
Опрошенные родители школьников назвали главные страхи за будущее детей,,https://tass.ru/obschestvo/27010177,"Mon, 06 Apr 2026 04:01:27 +0300",website,tass.ru
Al Hadath: технологический университет в Тегеране подвергся бомбардировке,"По информации телеканала, на территории вуза произошло несколько взрывов",https://tass.ru/mezhdunarodnaya-panorama/27010179,"Mon, 06 Apr 2026 04:03:52 +0300",website,tass.ru
Посольства Ирана высмеяли требование Трампа открыть Ормузский пролив,,https://tass.ru/mezhdunarodnaya-panorama/27010187,"Mon, 06 Apr 2026 04:12:43 +0300",website,tass.ru
Связисты Южной группировки сорвали попытку ВСУ нарушить управление у Краматорска,"Противник нанес дар по ретранслятору радиосвязи и дублирующей проводной линии, но бойцы ВС РФ смогли оперативно устранить повреждения и восстановить управление",https://tass.ru/armiya-i-opk/27010399,"Mon, 06 Apr 2026 05:11:14 +0300",website,tass.ru
CNN: США привлекли элитный спецназ к спасению второго члена экипажа F-15E,"Среди сотен военнослужащих в операции по спасению штурмана-оператора самолета участвовали военнослужащие спецподразделений Delta Force и Navy Seals, сообщает телекомпания",https://tass.ru/mezhdunarodnaya-panorama/27010439,"Mon, 06 Apr 2026 05:15:57 +0300",website,tass.ru
Добро.Центры впервые откроются в Чечне и на Байконуре,"В Добро.рф уточнили, что в Чеченской Республике начнут работу сразу три центра",https://tass.ru/obschestvo/27010447,"Mon, 06 Apr 2026 05:17:46 +0300",website,tass.ru
"Эксперт Зайков рассказал, можно ли потратить маткапитал на старшего ребенка","Доцент кафедры экономики и финансов Алтайского филиала отметил, что материнским капиталом можно оплатить обучение как первого, так и последующих - родных или усыновленных детей",https://tass.ru/obschestvo/27010453,"Mon, 06 Apr 2026 05:19:55 +0300",website,tass.ru
Минпромторг готовит новый механизм стимулирования экспорта для фармкомпаний,"Речь идет про экспортный кешбэк, сообщил глава ведомства Антон Алиханов",https://tass.ru/ekonomika/27010457,"Mon, 06 Apr 2026 05:27:12 +0300",website,tass.ru
Иран заявил о гибели 13 человек при бомбардировке в регионе Бехарестан,Из-за удара было разрушено два жилых дома в городе Калех-Мир,https://tass.ru/mezhdunarodnaya-panorama/27010465,"Mon, 06 Apr 2026 05:27:15 +0300",website,tass.ru
На Камчатке осудили пять участников группы за организацию подпольного казино,"С осужденных взыскали деньги, полученные преступным путем",https://tass.ru/proisshestviya/27010489,"Mon, 06 Apr 2026 05:38:02 +0300",website,tass.ru
Axios: США и Иран обсуждают возможность 45-дневного прекращения огня,"Источники портала признают, что ""шансов на достижение сделки в ближайшие 48 часов мало"" ",https://tass.ru/mezhdunarodnaya-panorama/27010493,"Mon, 06 Apr 2026 05:38:32 +0300",website,tass.ru
На Камчатке ФСБ перекрыла канал незаконной миграции,"По данным следствия, сообщники организовали пребывание в России граждан одной из республик ближнего зарубежья, изготовив фиктивные гражданско-правовые договоры",https://tass.ru/obschestvo/27010501,"Mon, 06 Apr 2026 05:47:17 +0300",website,tass.ru
Израиль заявил об очередном ракетном обстреле со стороны Ирана,"ВС еврейского государства сообщили, что системы обороны работают для пресечения угрозы",https://tass.ru/mezhdunarodnaya-panorama/27010515,"Mon, 06 Apr 2026 05:52:51 +0300",website,tass.ru
В Кузбассе третьи сутки ищут пропавшего Героя России Алексея Асылханова,Он ушел 3 апреля из дома и не вернулся,https://tass.ru/proisshestviya/27010507,"Mon, 06 Apr 2026 05:53:42 +0300",website,tass.ru
Mehr: из-за бомбардировок в восточной части Тегерана погибли четыре человека,"По информации агентства, еще не менее семи получили ранения",https://tass.ru/mezhdunarodnaya-panorama/27010521,"Mon, 06 Apr 2026 05:54:34 +0300",website,tass.ru
Rusprofile: в России стали чаще открывать бизнес,"С января по март включительно в России появились 314 404 компании и индивидуальных предпринимателя, что на 3,64% больше, чем за аналогичный период 2025 года",https://tass.ru/ekonomika/27010555,"Mon, 06 Apr 2026 06:01:58 +0300",website,tass.ru
ВТБ: ИИ решает каждое второе обращение клиентов в банк,"Искусственный интеллект в контакт-центре точнее понимает клиента с первых секунд и быстрее адаптируется к диалогу, сообщили в кредитной организации",https://tass.ru/ekonomika/27010545,"Mon, 06 Apr 2026 06:03:18 +0300",website,tass.ru
Экономист Т-банка прогнозирует доллар на уровне 90 рублей к концу года,"Руководитель управления фондового рынка банка Софья Донец отметила, что для прогнозирования курса валюты важно влияние изменения глобальных сырьевых цен и возможного изменения бюджетного правила",https://tass.ru/ekonomika/27010575,"Mon, 06 Apr 2026 06:03:49 +0300",website,tass.ru
SuperJob: в России самыми ленивыми работниками оказались дизайнеры,"При этом меньше всего ленятся операторы кол-центров и главные бухгалтеры, показало исследование",https://tass.ru/obschestvo/27010571,"Mon, 06 Apr 2026 06:05:17 +0300",website,tass.ru
"В Сербии заявили, что найденную на газопроводе взрывчатку могли сделать в США","По словам директора сербского Военного агентства безопасности Джуро Йованича, на это указывает маркировка",https://tass.ru/mezhdunarodnaya-panorama/27010505,"Mon, 06 Apr 2026 06:05:53 +0300",website,tass.ru
В 2025 году Россия добилась выдачи из-за рубежа 186 разыскиваемых лиц,"Положительные решения по запросам Генпрокуратуры принимали Турция, Сербия, ОАЭ, Черногория, Греция, Алжир, Замбия и другие страны",https://tass.ru/obschestvo/27010581,"Mon, 06 Apr 2026 06:06:44 +0300",website,tass.ru
В Москве прогнозируют облачную погоду и до 11 градусов тепла,Атмосферное давление в столице составит около 739 мм ртутного столба,https://tass.ru/obschestvo/27010549,"Mon, 06 Apr 2026 06:07:53 +0300",website,tass.ru
Израиль сообщил о серии ударов по целям в Тегеране,Армия еврейского государства била по правительственным объектам,https://tass.ru/mezhdunarodnaya-panorama/27010607,"Mon, 06 Apr 2026 06:08:36 +0300",website,tass.ru
"В СФ назвали пока ""сложной"" езду на электромобилях по России","Заместитель председателя Совета по развитию цифровой экономики сенатор Артем Шейкин отметил, что в стране не хватает зарядных станций для таких путешествий",https://tass.ru/obschestvo/27010595,"Mon, 06 Apr 2026 06:10:55 +0300",website,tass.ru
"""Займер"": более 80% желающих взять займы столкнулись с отказом по кредиту","При этом положительное решение по кредиту получил каждый десятый, говорится в опросе финтех-группы ",https://tass.ru/ekonomika/27010591,"Mon, 06 Apr 2026 06:13:29 +0300",website,tass.ru
N12: в Хайфе после ударов Ирана погибли два человека,"Спасательные бригады продолжают разыскивать еще двоих пропавших без вести, сообщил телеканал ",https://tass.ru/mezhdunarodnaya-panorama/27010623,"Mon, 06 Apr 2026 06:15:58 +0300",website,tass.ru
Алиханов: к 2030 году планируется вывести на рынок КНР лекарства для онкотерапии,"Компания ""Биокад"" реализует проект по созданию в Китае совместного предприятия для выпуска лекарств на основе моноклональных антител и генотерапевтических препаратов отечественной разработки",https://tass.ru/ekonomika/27010613,"Mon, 06 Apr 2026 06:19:49 +0300",website,tass.ru
Эксперт Кермедчиева: подделки брендов в модном сегменте занимают около 40%,"Доступности контрафактной продукции способствуют маркетплейсы, отметила вице-президент по новым брендам Союза торговых центров",https://tass.ru/ekonomika/27010633,"Mon, 06 Apr 2026 06:22:17 +0300",website,tass.ru
В Поморье внедрили метод лечения осложнений болезней головного и спинного мозга,Методику используют на базе Архангельского городского кардиологического центра Первой городской клинической больницы,https://tass.ru/nauka/27010649,"Mon, 06 Apr 2026 06:29:47 +0300",website,tass.ru
Баканов: первый модуль Российской орбитальной станции развернут в 2028 году,"Такую дату руководитель Роскосмоса назвал, опираясь на утвержденный паспорт нацпроекта ",https://tass.ru/kosmos/27010673,"Mon, 06 Apr 2026 06:30:51 +0300",website,tass.ru
Калужские власти ожидают рост выпуска автомобилей Tenet,В 2025 году в регионе было собрано более 140 тыс. автомобилей различных марок,https://tass.ru/ekonomika/27010531,"Mon, 06 Apr 2026 06:32:22 +0300",website,tass.ru
ТАСС: из Донбасса под Сумы перебросили артиллеристов 78-й бригады ВСУ,"Это показал анализ публикаций украинских волонтеров, сообщили в российских силовых структурах",https://tass.ru/armiya-i-opk/27010695,"Mon, 06 Apr 2026 06:32:39 +0300",website,tass.ru
ТАСС: ВСУ перебросили в Харьковскую область карательные группы Нацгвардии,"В российских силовых структурах отметили, что эти группы также будут искать дезертиров",https://tass.ru/armiya-i-opk/27010687,"Mon, 06 Apr 2026 06:32:45 +0300",website,tass.ru
Калужский автозавод готовится к выпуску новой модели Tenet,Планируется запустить конвейер,https://tass.ru/ekonomika/27010661,"Mon, 06 Apr 2026 06:34:15 +0300",website,tass.ru
ТАСС: мобилизованный в ВСУ с ДЦП и шизофренией пропал без вести у Сум,"В российских силовых структурах подчеркнули, что киевские власти доукомплектовывают подразделения на сумском участке фронта насильно мобилизованными украинцами",https://tass.ru/armiya-i-opk/27010679,"Mon, 06 Apr 2026 06:34:20 +0300",website,tass.ru
"""Ушкуйник"": проект катера ""Скорлупа"" изначально закладывался как серийный","Советник генерального директора НПЦ Евгений Мандельштам отметил, что затяжной стадии ""штучных"" прототипов не было",https://tass.ru/ekonomika/27010657,"Mon, 06 Apr 2026 06:34:54 +0300",website,tass.ru
Австралия обеспечила импорт топлива до мая на фоне мирового энергокризиса,"Все закупки топлива уже законтрактованы, что гарантирует их поставку, заявил министр энергетики страны Крис Боуэн",https://tass.ru/ekonomika/27010725,"Mon, 06 Apr 2026 06:44:05 +0300",website,tass.ru
В Киргизии задержали сторонника террористической организации,"Как сообщили в Государственном комитете национальной безопасности, подозреваемый планировал выехать за границу в одну из зон боевых действий",https://tass.ru/proisshestviya/27010731,"Mon, 06 Apr 2026 06:44:36 +0300",website,tass.ru
"""Вашингтон"" разгромно проиграл ""Рейнджерс"" в НХЛ. Овечкин очков не набрал",Встреча завершилась победой клуба из Нью-Йорка со счетом 8:1,https://tass.ru/sport/27010741,"Mon, 06 Apr 2026 06:45:29 +0300",website,tass.ru
Из Дербентского района из-за разрушения плотины эвакуировали более 350 человек,Пострадавшим обеспечивается горячее питание и медицинская помощь,https://tass.ru/proisshestviya/27010755,"Mon, 06 Apr 2026 06:46:57 +0300",website,tass.ru
Боец Гудини: в Херсонской области расчет Zala за месяц выявил три орудия ВСУ,"Старший оператор расчета отметил, что бойцам также удалось обнаружить  четыре пункта управления беспилотниками противника",https://tass.ru/armiya-i-opk/27010749,"Mon, 06 Apr 2026 06:47:05 +0300",website,tass.ru
В Пензенской области отменили беспилотную опасность,Режим был введен в 01:47 мск,https://tass.ru/proisshestviya/27010769,"Mon, 06 Apr 2026 06:50:05 +0300",website,tass.ru
Алиханов: Вьетнам упростил регистрацию российских фармпрепаратов,"Глава Минпромторга подчеркнул, что это расширит присутствие компаний из РФ с уникальными компетенциями в разработке и производстве высокотехнологичных биологических лекарств",https://tass.ru/ekonomika/27010775,"Mon, 06 Apr 2026 06:50:11 +0300",website,tass.ru
ЦАХАЛ снова зафиксировал запуск ракет из Ирана в сторону Израиля,Оборонные системы работают над перехватом угроз,https://tass.ru/mezhdunarodnaya-panorama/27010783,"Mon, 06 Apr 2026 06:50:35 +0300",website,tass.ru
